filename,species,lat,long,temp,ear:head
sl14,sloth,15.225151,76.598921,26.85,0.1503344
as5,asian,14.520188,101.333593,24.05,0.165090651
as6,asian,14.449355,101.238627,22.45,0.119513808
sb6,sun,12.804151,99.597221,27.05,0.043151855
sb2,sun,12.782802,99.570693,26.55,0.036874545
sb5,sun,12.731145,99.476422,25.85,0.037974155
sb4,sun,12.714884,99.552989,26.25,0.043673484
sb1,sun,12.698983,99.417229,24.75,0.03339485
sb0,sun,12.661522,99.424074,23.05,0.030897148
sl0,sloth,11.906398,76.166147,22.85,0.106947133
sl7,sloth,11.906398,76.166147,22.85,0.108825
sl16,sloth,10.390844,76.866648,23.15,0.168615885
sl8,sloth,8.597031,80.031246,27.15,0.128895315
sl9,sloth,8.542187,80.02343,27.25,0.117047743
sl13,sloth,8.500133,80.03457,27.15,0.134521043
sl10,sloth,8.22914,80.01109,27.55,0.156148105
sl18,sloth,6.574559,81.314489,26.85,0.213142412
sl12,sloth,6.515033,81.445211,27.25,0.135051413
sl6,sloth,6.291274,81.448386,27.05,0.177629763
sb3,sun,3.300681,115.124954,19.45,0.04088447
